날짜,제목,본문,링크
2025-12-03 23:30:00,"美정부, ‘한국 車관세 15%로 소급 인하’ 관보 사전 게재",미국 정부가 한국산(産) 자동차에 대한 관세율을 15%로 소급 인하하는 내용의 관보 문서를 3일(현지시각) 사전 게재했다.   미국 국립기록관리청은 이날 미 행정부 연방 관보 홈페이지에 이같은 관보를 사전 게재했다. 관보는 미국 무역대표부(USTR) 및 상무부 국제무역청(ITA) 명의로 게시됐다. 정식 게재는 4일 이뤄진다.  관보에는 한국산 승용차·경트럭 및 차량용 부품에 적용되는 관세율을 15%로 인하한다는 내용이 담겼다. 인하된 관세는 지난달 1일 0시 1분(미 동부시간) 이후 소비를 목적으로 반출된 물품이나 창고에서 소비를 위해 반출된 자동차 및 자동차 부품에도 소급 적용된다.  이번 소급 조치는 더불어민주당이 지난달 26일 국회에 ‘한미 전략적 투자 관리를 위한 특별법안’(대미투자특별법)을 발의한 데 따른 조처다. 양국은 지난달 14일 서명한 ‘한미 전략적 투자에 관한 양해각서(MOU)’에서 MOU 이행을 위한 법안이 한국 국회에 제출되는 달의 1일 자로 관세 인하 조치를 소급 적용하기로 했다.  하워드 러트닉 미 상무장관은 지난 1일 소셜미디어(SNS) 엑스(X)에 올린 성명에서 “한국이 국회에서 전략적 투자 법안을 시행하기 위해 공식적으로 움직였다”며 “미국은 협정에 따라 자동차 관세를 11월 1일부터 15%로 하는 것을 포함해 특정 관세를 인하할 예정”이라고 했다.,https://n.news.naver.com/mnews/article/366/0001127895
2025-12-03 22:55:00,美 11월 ADP 민간고용 3만2000명 감소,"미국 11월 고용이 예상과 달리 전달 대비 3만2000건 감소한 것으로 나타났다.   미 고용정보업체 오토매틱데이터프로세싱(ADP)은 3일(현지시각) 11월 미국의 민간기업 고용이 지난 10월 대비 3만2000명 감소했다고 밝혔다.  이는 미국 월가의 전문가 예상을 빗나간 수치다. 다우존스는 11월 고용이 4만명 증가할 것이라는 전문가 전망치를 발표한 바 있다.  중소기업의 고용 둔화가 컸던 것으로 나타났다. 50명 이상의 직원을 고용하고 있는 대기업은 순 근로자 수가 9만명 증가했다고 보고했다. 반면 50인 미만 기업에서는 12만명이 감소했고 20~49인 기업에서는 7만4000명이 감소한 것으로 집계됐다.  ADP 수석 경제학자 넬라 리처드슨은 “11월의 경기 둔화는 광범위한 부문에서 나타났지만, 중소기업의 침체가 주요 원인이었다”고 했다.",https://n.news.naver.com/mnews/article/366/0001127894
2025-12-03 22:22:00,‘내란재판부 설치법·법왜곡죄법’ 민주당 주도 법사위 통과,"국회 법제사법위원회 전체회의에서 3일 ‘내란전담재판부’ 설치와 판사·검사 등을 처벌하는 ‘법왜곡죄’ 법안이 더불어민주당 주도로 통과됐다. 국민의힘은 법안 처리에 반대하며 회의에 참석하지 않았다.   법사위는 이날 ▲내란전담재판부 설치 및 제보자 보호 특별법안(내란특별법) ▲형법 개정안(법왜곡죄) ▲공수처 설치·운영법 개정안 등을 상정한 뒤 안건조정위원회를 거쳐 통과시켰다. 안건조정위원회는 여야 간에 이견이 있는 법안의 처리 여부를 논의하는 상임위 산하 기구다. 여섯 명의 위원 중 4명이 찬성하면 통과된다. 이번 법안들은 다수인 민주당 등 여권 위원들의 찬성으로 처리됐다.  내란특별법은 윤석열 전 대통령 등이 기소된 ‘내란 및 비상계엄 관련 사건’을 전담할 재판부를 설치하는 내용을 담고 있다. 법안에 따르면 1심과 2심(항소심) 모두 내란전담재판부가 설치되며, 내란전담영장판사 임명 규정도 도입된다. 또 형사소송법상 최대 6개월로 규정된 구속기간을 내란·외환죄에 한해 1년까지 연장할 수 있도록 했다.  함께 통과된 법왜곡죄는 재판 또는 수사 과정에서 판사나 검사가 부당한 목적으로 법을 왜곡하거나, 사실관계를 현저하게 잘못 판단해 법을 왜곡 적용한 경우 처벌할 수 있도록 하는 내용이다.  공수처법 개정안은 현재 공수처법상 수사 대상 중 직무상 관련된 범죄를 넘어 모든 범죄에 대해 공수처가 수사할 수 있도록 했다.  이 밖에 이날 법사위에서 통과된 간첩법(형법 98조) 개정안은 간첩죄의 적용 대상을 현행 ‘적국’에서 ‘외국 또는 이에 준하는 단체’로 확대해 북한이 아닌 외국의 스파이 행위에 대한 처벌도 할 수 있게 하는 내용을 담고 있다.  국민의힘은 내란특별법에 대해 위헌법률심판을 청구하겠다고 했다. 국민의힘 법사위원인 나경원 의원은 “외부 사람들이 판사를 마음대로 고르는 것은 사법부 독립에 대한 기본 원칙을 침해한다”며 “내란전담재판부는 공정성·독립성을 완전히 침탈하는 것”이라고 했다.  천대엽 법원행정처장도 이날 전체회의에서 내란전담재판부 설치에 대해 “처분적 법률(특정한 개인이나 사건을 대상으로 하는 법)이 원칙적으로 허용되지 않는 것처럼 처분적인 재판부 구성도 허용되지 않는다는 것이 선진 사법의 기본 원칙”이라며 “수사권과 행정권을 지닌 법무부가 사법부의 영역에 들어온다는 것은 굉장한 사법권의 제한이자 침해”라고 말했다.",https://n.news.naver.com/mnews/article/366/0001127893
2025-12-03 21:59:00,"비상계엄 1주년, 국회 앞 모인 1만명 “내란 끝장내자”","12·3 비상계엄 사태 1년인 3일 진보·보수 단체들이 서울 여의도 국회 인근에서 집회를 벌였다. 집회 참가자 간 큰 물리적 충돌은 없었으나, 서로 욕설이 오가기도 했다.  ‘내란청산·사회대개혁 비상행동 기록기념위원회(비상행동)’는 이날 오후 7시부터 서울 영등포구 국회의사당역 인근에서 ‘12·3내란외환 청산과 종식, 사회대개혁 시민대행진’을 열었다. 이날 집회에는 경찰 비공식 추산 1만1000명이 운집했다.  비상행동은 진보 단체들이 모여 결성한 조직이다. 이재명 대통령도 이날 집회에 참석할 예정이었으나, 예상 인원(3000명)보다 많은 인파가 몰리면서 경호 사정을 고려해 불참했다.  집회 참가자들은 “주권자의 명령이다. 내란세력 완전히 청산하자!” “우리가 승리한다. 내란을 끝장내자!” “내란 외환 청산하고 사회대개혁 실천하자” 등의 구호를 외쳤다.  집회 참가자들은 저마다 ‘사회대개혁 실현하자’ ‘내란외환 청산하자’ 라고 쓰인 손팻말을 들었다. 일부는 ‘일 잘하는 잼통령(이재명 대통령) 연임으로 밀어주자’라는 문구가 적힌 손팻말을 들기도 했다.   이들은 같은 날 오후 8시 53분쯤부터 국회 앞에서 국민의힘 여의도 당사 앞까지 300m 거리를 행진했다. 국민의힘 당사 앞에 도착한 뒤 “국힘당(국민의힘)은 해체하라”라고 소리쳤다. 이때 경찰 측정 소음 기준 118데시벨을 기록하기도 했다. 전투기가 이륙하거나 구급차가 사이렌을 울리며 지나갈 때 발생하는 소리와 비슷하다.  이날 보수단체의 집회도 국회 앞에서 열렸다. 다만 진보성향 집회 참가 인원이 보수성향 집회 참가 인원보다 많았다. 양측 사이에서 일부 몸싸움이 벌어지거나 욕설이 오가기도 했으나, 큰 충돌은 없었다. 경찰은 이날 국회 앞에 기동대 83개 부대 약 5400명을 배치했다.",https://n.news.naver.com/mnews/article/366/0001127892
2025-12-03 21:53:00,"佛 마크롱, 2박 3일 中 국빈 방문… 4일 시진핑과 정상회담","에마뉘엘 마크롱 프랑스 대통령이 3일 중국 베이징에 도착해 2박 3일간의 국빈 방문 일정을 시작했다.   중국 관영 신화 통신과 AFP 통신 등에 따르면 마크롱 대통령과 부인 브리지트 여사는 3일 오후 베이징에 도착했다. 마크롱 대통령이 중국을 방문한 것은 2023년 4월 이후 약 2년 반 만, 2017년 대통령 취임 이후 네 번째다.  마크롱 대통령의 이번 방중은 시진핑 중국 국가주석의 초청으로 이뤄졌다. 마크롱 대통령은 4일 베이징 인민대회당에서 시 주석과 회담할 예정이다.  이번 회담에서 두 정상은 양국 관계 발전 방안과 국제 이슈, 경제 교류, 무역 분야 등을 논의할 예정이다.  아울러 우크라이나 전쟁 종식을 위한 방안에 대한 논의도 이뤄질 것으로 예상되고 있다. 프랑스 엘리제궁은 마크롱 대통령이 시 주석에게 중국이 “러시아의 전쟁 지속을 돕는 어떠한 수단도 어떠한 방법으로든 제공해선 안 된다고 말할 예정”이라고 밝혔다.  두 정상은 회담 후 ‘프랑스-중국 비즈니스 포럼’에 함께 참석한다. 이후 마크롱 대통령은 자오러지 전국인민대표대회 상무위원장, 리창 국무원 총리와 연쇄 회담을 가질 것으로 전해졌다.",https://n.news.naver.com/mnews/article/366/0001127891
2025-12-03 21:36:00,계엄 1년 ‘다크투어’ 해설자 나선 우원식… “다시는 발생하지 말아야”,"우원식 국회의장은 12·3 비상계엄 1년을 맞은 3일 직접 국회 ‘다크투어’ 해설자로 나섰다.   우 의장은 이날 오후 시민 50명과 국회 1문(정문)과 본인 월담 장소, 국회 운동장, 로텐더홀, 본회의장 등 비상계엄 당시 주요 장소로 꼽히는 곳들을 관람했다.  우 의장은 이날 계엄 당시 입었던 코트를 입었다. 그는 참석한 시민들에게 “단순한 견학 자리가 아니고 우리가 함께 겪었던 민주주의 위기의 순간을 돌아보고 다시는 이런 일이 발생하지 않도록 마음을 다지자는 취지에서 만들어진 자리”라고 했다.  우 의장은 본인이 비상계엄 해제 표결을 위해 국회로 향하며 월담했던 장소 앞에서 “국회에 도착하자 경찰 버스가 후진으로 3문을 딱 막았다”며 “어디로 넘을까 하다가 여기 오니까 발 디딜 데가 있어 여기로 넘어갔다”고 말했다.  이어 로텐더홀에서는 계엄군이 국회 유리창을 깨고 진입했을 당시 상황을 설명했다. 또 본회의장에서는 비상계엄 해제 의결 과정을 전했다.  앞서 우 의장은 이날 다크투어 외에도 비상계엄에 대한 공동학술대회, 국회의사당 정문 글새김 개막식 등에 참석했다.  우 의장은 이날 입장문을 내고 “국민이 지켜낸 민주주의를 더 단단히 하고 국민께서 체감할 수 있는 민주주의를 구현하기 위해 더 노력하겠다”고 했다.  그러면서 “명확한 진상규명과 엄중한 책임 추궁을 통해 헌정질서를 온전히 회복해야 한다. 국회도 끝까지 살피겠다”며 “12·3을 통해 확인된 제도적 결함, 헌법의 미비점을 개선하기 위한 개헌과 국회 개혁 또한 추진해나갈 것”이라고 했다.",https://n.news.naver.com/mnews/article/366/0001127890
2025-12-03 21:18:00,"트럼프, 美·대만 관계 강화법 서명… 대만 ‘환영’·중국 ‘반발’","도널드 트럼프 미국 대통령이 2일(현지시각) 대만과의 관계를 강화하는 법안에 서명했다.   블룸버그, 대만 중앙통신사 등 외신에 따르면 트럼프 대통령은 이날 ‘대만 보장 이행법(Taiwan Assurance Implementation Act)’에 서명했다.  대만 보장 이행법은 미 국무부가 매 5년마다 미국과 대만과의 교류 지침을 검토하고 의회에 제한을 완화할 수 있는 개선 방안 등을 보고하도록 의무화하는 내용이 골자다.  미국은 1979년 중국과 수교하며 대만과는 공식적으로 단교했다. 이후 대만과 실질적 교류 관계는 유지했으나, 중국을 자극하지 않기 위해 양측 접촉을 비공개로 하는 등 ‘금지 원칙’을 지켜왔다.  대만 중앙통신사는 ‘대만 보장 이행법’은 이런 미국의 자율 제한 규정을 궁극적으로 타파하는 데 초점을 맞추고 있다고 분석했다.  이 법안은 미 연방하원과 상원에서 모두 만장일치로 통과됐다. 법안을 발의한 앤 와그너 하원의원은 “이 법은 중국 공산당의 위험한 이 지역(대만) 지배 시도에 맞서 우리가 굳건히 서 있다는 메시지를 보낸다”고 했다.  대만은 즉각 환영 입장을 밝혔다. 린자룽 대만 외교부장은 “미국 행정부와 의회의 초당파적 지지에 감사드린다”며 “이 법은 미국·대만 관계 진전을 위한 중대한 발걸음”이라고 했다.  궈야후이 대만 총통부 대변인도 “이 법의 통과는 미국·대만 간 교류의 가치를 인정하고 더 긴밀한 관계를 지지한다”며 “민주·자유·인권 등 양측이 공유하는 공동 가치의 견고한 상징으로 특별한 의의가 있다”고 말했다.  반면 중국은 강하게 반발했다. 린젠 중국 외교부 대변인은 이날 정례브리핑에서 “미국과 중국 대만지역 간의 어떠한 형식의 공식 교류도 단호히 반대하며 이 입장은 일관되고 명확하다”면서 “대만 문제는 중국의 핵심 이익 중 핵심이자 중·미 관계에서 넘을 수 없는 첫 번째 레드라인”이라고 했다.  또 장한 중국 국무원 대만사무판공실 대변인은 “미국 측의 해당 법안은 중국의 내정을 거칠게 간섭하는 것”이라며 “하나의 중국' 원칙과 중미 3개 공동성명(수교 성명)에 규정된 정신을 심각하게 위반한다”고 말했다.",https://n.news.naver.com/mnews/article/366/0001127889
2025-12-03 20:37:00,5일 전국 법원장·8일 전국법관대표 회의… 내란재판부 등 논의,"전국 법원장이 모이는 정기 전국법원장회의가 오는 5일, 전국 각급 법원 대표 모임인 전국법관대표회의가 오는 8일 열린다.   3일 법조계에 따르면, 대법원 법원행정처는 오는 5일 정기 전국법원장회의를 열고 더불어민주당이 추진하는 내란전담재판부 설치 및 법왜곡죄 도입 등을 논의하기로 했다. 전국법원장회의는 각급 법원장과 사법연수원장, 사법정책연구원장 등 고위 법관이 모이는 회의로, 정기 회의는 매년 12월 열린다.  법원행정처는 최근 각 법원장들에게 “해당 법률안들이 법관 사회에 미치는 영향이 중대하고, 사법권 독립 등 헌법의 기본 원리와 국민의 기본권 보장 관점에서 신중한 검토와 공론화가 필요하다”며 “소속 법관들의 의견을 수렴해달라”고 요청했다. 그러면서 “최근 법률안들에 대한 국회의 심의 상황이 긴박하게 돌아가고 있다”며 “기존에 준비했던 법원장회의 안건은 서면 논의로 대체하고, 해당 입법에 관한 대응 방안을 논의 주제로 삼고자 한다”고 했다.  최근 민주당 주도로 내란 전담 재판부 설치법 등이 국회 법제사법위원회 법안심사소위를 통과한 바 있다.  전국법관대표회의는 오는 8일 사법제도 개선에 관한 재판제도 및 법관의 인사 및 평가제도 변경 등 안건을 논의할 예정이다. 전국법관대표회의는 각급 법원 대표 모임으로, 사법행정에 관한 의견 등을 수렴해 낸다.  전국법관대표회의는 민주당이 추진하는 법관 인사 제도 개편과 상고심 제도 개선 방안 등 ‘사법 개혁안’에 관한 입장을 표명할지 논의할 것으로 알려졌다. 이번 회의에는 법관 근무 평정에 외부 기관인 대한변호사협회의 평가를 반영하게 하는 법관 인사 제도 개편안과 대법관 증원 등 상고심 제도 개선안에 관한 두 가지 안건이 올라왔다.  대한변협의 평가를 법관 평정에 반영하는 개편안에 대해서는 “단기적·정치적 논의나 일시적 여론에 따라 제도가 성급하게 개편되는 것은 바람직하지 않고, 재판의 공정성과 사법의 안정성을 훼손할 우려가 있다”는 의견이 나왔다.  대법관 증원 등 상고심 제도 개선 추진에 대해서는 “사실심 강화 방안이 함께 논의될 필요가 있고, 대법관 구성의 민주적 정당성 확보를 위한 대법관 후보 추천위원회의 제도 개선도 필요하다” “상고심 제도 개선 논의에 국민의 기대와 요구는 물론, 재판을 담당하는 법관들의 의견이 충분히 반영돼야 한다” 등 의견이 나왔다.  다만 상정된 안건은 회의에 참석한 법관 대표 과반이 찬성해야 법관대표회의의 공식 입장으로 발표할 수 있다.",https://n.news.naver.com/mnews/article/366/0001127888
2025-12-03 20:21:00,출근길 서울 영하 9도 강추위… ‘첫눈’ 예보도,"목요일인 4일 전국 대부분 지역의 아침 기온이 -5도 이하로 떨어지는 등 강추위가 이어질 전망이다.   기상청에 따르면, 아침 최저기온은 -14∼-2도, 낮 최고기온은 1∼8도로 예보됐다. 중부내륙과 경북 북부 내륙·북동 산지는 -10도 안팎, 강원 내륙·산지는 -15도 안팎까지 내려갈 것으로 보인다.  주요 도시 예상 최저기온과 최고기온은 서울 -9도와 2도, 인천 -8도와 5도, 대전 -8도와 4도, 광주 -3도와 6도, 대구 -5도와 5도, 울산 -4도와 6도, 부산 -2도와 8도다.  충청권과 전라권, 제주도가 대체로 흐리고 그 밖의 지역은 대체로 맑다가 오후부터 가끔 구름이 많겠다.  3일 밤까지 충남 서해안과 전북 서해안·남부 내륙, 전남 서해안, 제주도에는 아침까지 비 또는 눈이 내리는 곳이 있겠다. 수도권과 강원 내륙·산지에는 밤사이 시간당 1∼3㎝의 강한 눈의 올 것으로 예보됐다.  4일 아침까지 이틀간 충남 서해안·전북 서해안·남부 내륙·전남 서해안·제주도 산지에는 1∼5㎝ 눈 혹은 5㎜ 미만의 비가 올 것으로 예상된다. 울릉도·독도에는 3∼10㎝의 눈이나 5∼10㎜의 비가, 제주도 중산간 1㎝ 안팎의 눈이나 5㎜ 미만의 비가 예보됐다.  오후부터는 경기 북동부·강원 북부 내륙과 산지에 3∼8㎝의 눈이나 5㎜ 미만의 비가 내릴 전망이다. 또 서울·인천·경기(북동부 제외)·강원 중·남부 내륙과 산지·충북 북부에는 1∼5㎝의 눈 또는 1㎜ 안팎의 비(충북 북부 제외)가 내릴 것으로 보인다.  미세먼지 농도는 전국에서 ‘좋음’ 수준을 보일 것으로 예보됐다.  바다 물결은 동해·남해 앞바다에서 0.5∼2.0m, 서해 앞바다에서 0.5∼3.0m로 일겠다.",https://n.news.naver.com/mnews/article/366/0001127887
2025-12-03 20:07:00,담배 피고 사진 찍고... ‘비상계엄 1년’ 국회 앞 주유소 점거한 시위대,"12.3 비상계엄 1년인 3일 진보 단체들이 서울 여의도 국회 인근에서 집회를 열었다. 시위대 일부가 근처 주유소 등으로 몰려 사실상 영업을 중단해야 하기도 했다.  ‘내란청산·사회대개혁 비상행동 기록기념위원회(비상행동)’는 이날 오후 7시 서울 영등포구 국회의사당역 인근에서 ‘12·3내란외환 청산과 종식, 사회대개혁 시민대행진’을 열었다. 비상행동은 진보 단체들이 모여 결성한 조직이다. 이날 집회에는 경찰 비공식 추산 6000명 넘는 인파가 몰렸다.   집회에 참여한 이들은 “주권자의 명령이다. 내란세력 완전히 청산하자!” “우리가 승리한다. 내란을 끝장내자!” “내란동조 국민의힘 해산하라” “내란 외환 청산하고 사회대개혁 실천하자” 등의 구호를 외쳤다. ‘내란외환 청산하자’ ‘사회대개혁 실현하자’ 등의 문구가 적힌 손팻말을 들고 있기도 했다.   집회 인원이 불어나면서 집회 장소 인근 가게들이 영업에 어려움을 겪기도 했다. 특히 주유소는 시위대가 몰리면서 ‘개점휴업’ 상태가 됐다. 주유소 앞에는 자동차 대신 조국혁신당, 기본소득당, 수도권 대학 등의 이름이 적힌 깃발만 나부꼈다.   국회 인근 주유소 직원은 “(시위대에) ‘영업 중이라 들어오면 안 된다’라고 하고 ‘이게 무슨 민폐냐’고도 했지만, 계속 몰려 들어 기념 사진을 찍는다”고 토로했다.  이날 국회 앞에서 진보·보수 단체의 집회가 잇따라 열리면서 경찰이 기동대 83개 부대 약 5400명을 배치했지만, 모든 인파를 통제하지는 못했다.",https://n.news.naver.com/mnews/article/366/0001127886
